ROI,X_position,Y_position,gene,gene_value,structure,full_gene_name,Order,type
74 | 006 | Geometric Segment,21397,27196,Astrocyte,0.103175485,WM,Astrocyte,C,Cortical white matter
74 | 006 | Geometric Segment,21397,27196,Capillary,0.039845576,WM,Capillary,E,Cortical white matter
74 | 006 | Geometric Segment,21397,27196,Ependymal,0,WM,Ependymal,H,Cortical white matter
74 | 006 | Geometric Segment,21397,27196,Microglia,0.077436487,WM,Microglia,B,Cortical white matter
74 | 006 | Geometric Segment,21397,27196,Neuron,0.009062309,WM,Neuron,A,Cortical white matter
74 | 006 | Geometric Segment,21397,27196,Oligodendrocytes,0.575855205,WM,Oligodendrocytes,G,Cortical white matter
74 | 006 | Geometric Segment,21397,27196,Macrophage,0.072102871,WM,PeriMacrophage,D,Cortical white matter
74 | 006 | Geometric Segment,21397,27196,SMC,0.048381155,WM,SMC,F,Cortical white matter
74 | 006 | Geometric Segment,21397,27196,Tcell,0.074140911,WM,Tcell,I,Cortical white matter
74 | 026 | Geometric Segment,19599,25100,Astrocyte,0.069278695,WM,Astrocyte,C,Cortical white matter
74 | 026 | Geometric Segment,19599,25100,Capillary,0.049986849,WM,Capillary,E,Cortical white matter
74 | 026 | Geometric Segment,19599,25100,Ependymal,7.51E-05,WM,Ependymal,H,Cortical white matter
74 | 026 | Geometric Segment,19599,25100,Microglia,0.071159327,WM,Microglia,B,Cortical white matter
74 | 026 | Geometric Segment,19599,25100,Neuron,0,WM,Neuron,A,Cortical white matter
74 | 026 | Geometric Segment,19599,25100,Oligodendrocytes,0.582353546,WM,Oligodendrocytes,G,Cortical white matter
74 | 026 | Geometric Segment,19599,25100,Macrophage,0.102575607,WM,PeriMacrophage,D,Cortical white matter
74 | 026 | Geometric Segment,19599,25100,SMC,0.069163811,WM,SMC,F,Cortical white matter
74 | 026 | Geometric Segment,19599,25100,Tcell,0.049072096,WM,Tcell,I,Cortical white matter
74 | 031 | Geometric Segment,25602,32214,Astrocyte,0.08638535,WM,Astrocyte,C,Cortical white matter
74 | 031 | Geometric Segment,25602,32214,Capillary,0.043114772,WM,Capillary,E,Cortical white matter
74 | 031 | Geometric Segment,25602,32214,Ependymal,0.001032802,WM,Ependymal,H,Cortical white matter
74 | 031 | Geometric Segment,25602,32214,Microglia,0.087483543,WM,Microglia,B,Cortical white matter
74 | 031 | Geometric Segment,25602,32214,Neuron,0.0121267,WM,Neuron,A,Cortical white matter
74 | 031 | Geometric Segment,25602,32214,Oligodendrocytes,0.591499793,WM,Oligodendrocytes,G,Cortical white matter
74 | 031 | Geometric Segment,25602,32214,Macrophage,0.063096014,WM,PeriMacrophage,D,Cortical white matter
74 | 031 | Geometric Segment,25602,32214,SMC,0.038919162,WM,SMC,F,Cortical white matter
74 | 031 | Geometric Segment,25602,32214,Tcell,0.072412586,WM,Tcell,I,Cortical white matter
