"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"66","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","CACNA1D",1.26166096592482
"67","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","CACNA1D",0.868354032611443
"68","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","CACNA1D",-0.347312521460074
"69","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","CACNA1D",0.00527921484264713
"70","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","CACNA1D",0.436816623727044
"71","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","CACNA1D",1.28234459010095
"72","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","CACNA1D",1.05872733133342
"73","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","CACNA1D",0.436816623727044
"74","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","CACNA1D",0.720333144879516
"75","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","CACNA1D",0.273291055021358
"76","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","CACNA1D",-1.3351984127325
"77","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","CACNA1D",-0.903661003848099
"78","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","CACNA1D",0.99316510611507
"79","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","CACNA1D",0.436816623727045
"80","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","CACNA1D",-0.347312521460075
"81","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","CACNA1D",-0.903661003848099
"82","Hipp. CA1, 019, Iba1+",16563,16483,"Hippocampus CA1 - Iba1+","Iba1+","CNTNAP1",-0.755041828222102
"83","Cx. V, 007, Iba1+",15150,24659,"Cortical layer V - Iba1+","Iba1+","CNTNAP1",0.975757700731466
"84","Hipp. CA1, 017, Iba1+",17683,20128,"Hippocampus CA1 - Iba1+","Iba1+","CNTNAP1",-0.658777991421487
"85","Cx. V, 009, Iba1+",19978,31299,"Cortical layer V - Iba1+","Iba1+","CNTNAP1",0.449554739331269
"86","Cx. II/III, 008, Iba1+",17781,32538,"Cortical layer II/III - Iba1+","Iba1+","CNTNAP1",0.449554739331269
"87","Cx. V, 033, Iba1+",14266,22500,"Cortical layer V - Iba1+","Iba1+","CNTNAP1",-0.143078996329766
"88","Hipp. CA1, 021, Iba1+",19727,22092,"Hippocampus CA1 - Iba1+","Iba1+","CNTNAP1",-0.0236541595883956
"89","Cx. II/III, 032, Iba1+",12988,25768,"Cortical layer II/III - Iba1+","Iba1+","CNTNAP1",-1.18498095282168
"90","Cx. II/III, 036, Iba1+",11922,23565,"Cortical layer II/III - Iba1+","Iba1+","CNTNAP1",-1.18498095282168
"91","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","CNTNAP1",0.399379728635632
"92","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","CNTNAP1",0.967468987321669
