"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"144","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","CADM3",-0.296043902215361
"145","Cx. II/III, 032, IBA1+",12988,25768,"Cortical layer II/III - IBA1+","IBA1+","CADM3",-0.33900970045647
"146","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","CADM3",-0.233557592249893
"147","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","CADM3",-0.108639321847359
"148","Cx. II/III, 008, IBA1+",17781,32538,"Cortical layer II/III - IBA1+","IBA1+","CADM3",-0.435103149972868
"149","Hipp. CA1, 021, IBA1+",19727,22092,"Hippocampus CA1 - IBA1+","IBA1+","CADM3",-0.330643623238622
"150","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","CADM3",-0.692508037273597
"151","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","CADM3",-0.532616501751056
"152","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","CADM3",-0.921875049988618
"153","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","CADM3",-0.517930970344249
"154","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","CADM3",-0.653985142133702
"155","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","CADM3",-0.736812962505083
"156","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","CADM3",-0.653985142133702
"157","Cx. V, 007, NeuN+",15150,24659,"Cortical layer V - NeuN+","NeuN+","YWHAG",1.49253163623193
"158","Cx. V, 009, NeuN+",19978,31299,"Cortical layer V - NeuN+","NeuN+","YWHAG",1.36651204538402
"159","Cx. V, 033, NeuN+",14266,22500,"Cortical layer V - NeuN+","NeuN+","YWHAG",1.35625934333404
"160","Cx. II/III, 008, NeuN+",17781,32538,"Cortical layer II/III - NeuN+","NeuN+","YWHAG",1.31262108816319
"161","Cx. II/III, 032, NeuN+",12988,25768,"Cortical layer II/III - NeuN+","NeuN+","YWHAG",1.27024780151362
"162","Cx. II/III, 036, NeuN+",11922,23565,"Cortical layer II/III - NeuN+","NeuN+","YWHAG",1.04261969878666
"163","Hipp. CA1, 021, NeuN+",19727,22092,"Hippocampus CA1 - NeuN+","NeuN+","YWHAG",1.35837577438263
"164","Hipp. Hilus, 014, NeuN+",29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+","YWHAG",1.81197414715791
"165","Hipp. Hilus, 016, NeuN+",26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+","YWHAG",1.62032946937322
"166","Hipp. Hilus, 015, NeuN+",24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+","YWHAG",1.69095951799234
"167","Hipp. CA1, 017, NeuN+",17683,20128,"Hippocampus CA1 - NeuN+","NeuN+","YWHAG",1.33922248737115
"168","Hipp. CA1, 019, NeuN+",16563,16483,"Hippocampus CA1 - NeuN+","NeuN+","YWHAG",1.35201774567462
"169","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","YWHAG",-0.722967935041407
